filename,width,height,class,xmin,ymin,xmax,ymax
armas (1189).jpg.rf.5219d395c9cd891f8147168e2c79a665.jpg,416,416,pistol,16,63,401,351
armas (1190).jpg.rf.7718f7b6d056470cb24e4ec6aa6f6d24.jpg,416,416,pistol,6,41,415,348
armas (1191).jpg.rf.115954867a790690a432c46f08c40906.jpg,416,416,pistol,14,15,384,409
armas (1192).jpg.rf.ab4fce9a5f4a39659c4b4b5b12e29349.jpg,416,416,pistol,27,96,218,299
armas (1192).jpg.rf.ab4fce9a5f4a39659c4b4b5b12e29349.jpg,416,416,pistol,185,182,399,395
armas (1193).jpg.rf.8a04e332751c8430b92fc77e80a65a54.jpg,416,416,pistol,12,53,408,389
armas (1194).jpg.rf.e3df3bbfb6bad0b62ef3d1ab82190721.jpg,416,416,pistol,242,107,324,179
armas (1195).jpg.rf.2be478e92913f473e89638b21fd96208.jpg,416,416,pistol,15,25,403,390
armas (1196).jpg.rf.f86003be5470467b8a54a40cb35a883c.jpg,416,416,pistol,7,24,399,364
armas (1197).jpg.rf.91612bb529e9568487df737609e62f0d.jpg,416,416,pistol,11,151,299,404
armas (1197).jpg.rf.91612bb529e9568487df737609e62f0d.jpg,416,416,pistol,65,8,409,242
armas (1198).jpg.rf.2d268af73b2baa08e2c77f7474381e2e.jpg,416,416,pistol,1,5,411,393
armas (1199).jpg.rf.6a9981054686a30f32bf3ebf342d463c.jpg,416,416,pistol,16,8,372,356
armas (1200).jpg.rf.aa7663d7f0aa3d547d38fc6f8379b983.jpg,416,416,pistol,153,161,300,325
armas (1200).jpg.rf.aa7663d7f0aa3d547d38fc6f8379b983.jpg,416,416,pistol,10,130,218,268
armas (1201).jpg.rf.782dabe7a20e1fed1e940a6f7ae0c31c.jpg,416,416,pistol,76,31,293,164
armas (1202).jpg.rf.8f3474ec05dad6ae68febb4351ec90f1.jpg,416,416,pistol,147,149,173,186
armas (1203).jpg.rf.a4a80e72718c26030bd1422304813f3b.jpg,416,416,pistol,121,217,173,376
armas (1203).jpg.rf.a4a80e72718c26030bd1422304813f3b.jpg,416,416,pistol,177,197,248,392
armas (1203).jpg.rf.a4a80e72718c26030bd1422304813f3b.jpg,416,416,pistol,261,167,322,367
armas (1203).jpg.rf.a4a80e72718c26030bd1422304813f3b.jpg,416,416,pistol,121,52,220,170
armas (1203).jpg.rf.a4a80e72718c26030bd1422304813f3b.jpg,416,416,pistol,195,46,321,209
armas (1204).jpg.rf.ab18eb4e61533298a89a9780452417be.jpg,416,416,pistol,154,173,274,247
armas (1205).jpg.rf.1a92f182f41da7698baea64404fbfce5.jpg,416,416,pistol,41,105,188,162
armas (1205).jpg.rf.1a92f182f41da7698baea64404fbfce5.jpg,416,416,pistol,196,69,307,147
armas (1205).jpg.rf.1a92f182f41da7698baea64404fbfce5.jpg,416,416,pistol,353,20,415,96
armas (1205).jpg.rf.1a92f182f41da7698baea64404fbfce5.jpg,416,416,pistol,63,237,164,407
armas (1205).jpg.rf.1a92f182f41da7698baea64404fbfce5.jpg,416,416,pistol,286,203,404,358
armas (1206).jpg.rf.400694b446a586798f7f337c2987628b.jpg,416,416,pistol,134,16,395,259
armas (1206).jpg.rf.400694b446a586798f7f337c2987628b.jpg,416,416,pistol,8,191,268,393
armas (1207).jpg.rf.4225ffb46a60570ffb0cb3f4e4cb8abe.jpg,416,416,pistol,14,18,193,386
armas (1207).jpg.rf.4225ffb46a60570ffb0cb3f4e4cb8abe.jpg,416,416,pistol,218,20,393,388
